model,r_squared,aic,n_rows
Model1_HF,0.00017652920998689758,12106.735879925931,32578
Model2_Hybrid,0.0005355110781593009,12095.036803392017,32578
Model3_Combined,0.0005742392688704578,12095.774415927408,32578
