feature,importance_mean,importance_std
bigram_diversity,0.016270157172317057,0.003966003356549996
word_shannon_entropy,0.01561534017538425,0.00656984462153203
avg_word_length,0.014992945149929503,0.003532509246145527
punctuation_density,0.00757328113342517,0.003118775845047446
repetition_rate,0.003419893053429801,0.0035604322952153
trigram_transition_entropy,0.0030670009922085352,0.0032053368175819306
sentence_entropy_std,0.0028043349511203243,0.002466790770066556
unique_word_ratio,0.0024098231202521305,0.003525870414912247
char_shannon_entropy,0.0018440997780564295,0.0032218756423108338
sentence_entropy_mean,0.0017429667289681982,0.0028333431156359083
vader_compound,0.001655806641558144,0.0024569825439694493
type_token_ratio,0.0013463183596171048,0.0036216194501759737
hf_sentiment,0.0005150660147661079,0.0027387981943697887
word_count,0.00026610586804574063,0.001589605376244573
bigram_transition_entropy,-0.0010400669334775347,0.003183955831986215
sentence_count,-0.0018079495469255692,0.0010672257981673935
sentence_length_std,-0.0018146475950695073,0.004173487512859244
hybrid_sentiment,-0.002242799224351033,0.002324920895011081
avg_sentence_length,-0.0028546290670077522,0.002455815632794684
