model,accuracy,precision,recall,f1,roc_auc,n_test
logistic_regression,0.6252302025782689,0.16776045939294504,0.4975669099756691,0.250920245398773,0.606113747599599,6516
random_forest,0.874462860650706,0.5454545454545454,0.029197080291970802,0.05542725173210162,0.5967075301016908,6516
