component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.32125447294888415,0.32125447294888415
PC2,0.15931178975420593,0.4805662627030901
PC3,0.14349288761748136,0.6240591503205715
PC4,0.10940265727447425,0.7334618075950458
PC5,0.06099151148395796,0.7944533190790037
