feature_group,removed_features,n_removed,baseline_accuracy,ablated_accuracy,accuracy_drop,baseline_f1,ablated_f1,f1_drop,baseline_roc_auc,ablated_roc_auc,roc_auc_drop
stylometric_structure,"word_count,sentence_entropy_mean,sentence_entropy_std,sentence_count,avg_sentence_length,sentence_length_std,avg_word_length,type_token_ratio,unique_word_ratio,repetition_rate,punctuation_density",11,0.874462860650706,0.8741559238796808,0.00030693677102522354,0.05542725173210162,0.03529411764705882,0.020133134085042796,0.5967075301016908,0.5779533157795331,0.018754214322157625
ngram_transition,"bigram_diversity,bigram_transition_entropy,trigram_transition_entropy",3,0.874462860650706,0.8746163290362186,-0.00015346838551255626,0.05542725173210162,0.055491329479768786,-6.407774766716695e-05,0.5967075301016908,0.5930505240074283,0.0036570060942624494
entropy,"char_shannon_entropy,word_shannon_entropy,bigram_transition_entropy,trigram_transition_entropy,sentence_entropy_mean,sentence_entropy_std",6,0.874462860650706,0.8746163290362186,-0.00015346838551255626,0.05542725173210162,0.05767012687427912,-0.0022428751421775042,0.5967075301016908,0.5946644651774139,0.0020430649242768606
sentiment,"vader_compound,hf_sentiment,hybrid_sentiment",3,0.874462860650706,0.8738489871086557,0.0006138735420503361,0.05542725173210162,0.044186046511627906,0.011241205220473713,0.5967075301016908,0.5988403296422495,-0.002132799540558783
