model,term,coef,std_err,t_value,p_value,ci_lower,ci_upper,r_squared,aic
Model1_HF,hf_sentiment,-0.006324309055069296,0.002558934546251979,-2.4714618294291215,0.013456191563042643,-0.011339728604518519,-0.0013088895056200716,0.00017652920998689758,12106.735879925931
Model2_Hybrid,hybrid_sentiment,-0.013796345233054744,0.003220373828726573,-4.2840819006749316,1.8349531539900477e-05,-0.020108161954114186,-0.0074845285119953,0.0005355110781593009,12095.036803392017
Model3_Combined,hf_sentiment,0.004490432440652003,0.004014927486217852,1.1184342571731194,0.263381570162765,-0.003378680832874921,0.012359545714178927,0.0005742392688704578,12095.774415927408
Model3_Combined,hybrid_sentiment,-0.018023240500004378,0.005054983258831991,-3.5654401957740296,0.00036324598874208923,-0.027930825629767994,-0.008115655370240761,0.0005742392688704578,12095.774415927408
